styleID,partNumber,brandName,styleName,uniqueStyleName,title,description,baseCategory,categories,catalogPageNumber,newStyle,comparableGroup,companionGroup,brandImage,styleImage,prop65Chemicals,noeRetailing,boxRequired,import_status
3321,13586,Burnside,8701,B8701,Nylon+Vest+with+Fleece+Sleeves,%3Cul%3E%3Cli%3E8.5+oz.%2Fyd%C2%B2%26nbsp%3B%28US%29%2C+12.7+oz.%2FL+yd%26nbsp%3B%28CA%29%2C+100%25+nylon+shell+with+100%25+polyester+fleece+sleeves%3C%2Fli%3E%0A%0A%0A%0A%3Cli%3EPolyfilled+vest%3C%2Fli%3E%3Cli%3ESnap-front+closure%3C%2Fli%3E%3Cli%3ETwo+slash+pockets%3C%2Fli%3E%3Cli%3ERibbed+cuffs+and+bottom+%28Navy+and+Black+have+striped+ribbed+bottom+and+cuffs%29%3C%2Fli%3E%3Cli%3ECamo+lining%3C%2Fli%3E%3C%2Ful%3E,Fleece,5%2C9%2C15%2C36%2C56%2C61%2C62%2C85%2C87%2C127%2C141%2C148%2C168%2C179%2C183%2C184%2C201%2C205%2C217%2C220%2C223%2C272%2C340%2C350%2C414%2C427,0,,344,0,Images%2FBrand%2F120_fm.jpg,Images%2FStyle%2F3321_fm.jpg,,,,0
7552,12286,Burnside,8801,8801Bu,Performance+Fleece+Joggers,%3Cul%3E%3Cli%3E6+oz.%2Fyd%C2%B2%26nbsp%3B%28US%29%2C+10+oz.%2FL+yd%26nbsp%3B%28CA%29+%2C100%25+polyester%3C%2Fli%3E%3Cli%3EMoisture+management+properties%3C%2Fli%3E%3Cli%3EElastic+waistband%3C%2Fli%3E%3Cli%3EBlack+drawcord%3C%2Fli%3E%3Cli%3EFaux+fly%3C%2Fli%3E%3Cli%3ESide+zippered+pockets%3C%2Fli%3E%3Cli%3EKnee+piping%3C%2Fli%3E%3Cli%3EHemmed+cuffs%3C%2Fli%3E%3Cli%3EBack+pocket%3C%2Fli%3E%3C%2Ful%3E,Athletics,2%2C9%2C14%2C16%2C27%2C37%2C61%2C85%2C87%2C106%2C127%2C128%2C148%2C159%2C179%2C184%2C220%2C223%2C270%2C312%2C384%2C399%2C414%2C457%2C458%2C461,180,,750,136,Images%2FBrand%2F120_fm.jpg,Images%2FStyle%2F7552_fm.jpg,,,,0
2281,09285,C2+Sport,5100,5100B,Performance+T-Shirt,%3Cul%3E%0A%3Cli%3E3.5+oz.%2Fyd%C2%B2%2C+%28US%29%2C+5.8+oz.%2FL+yd%26nbsp%3B+%28CA%29%2C+100%25+polyester+moisture+management%2F+antimicrobial+performance+fabric%3C%2Fli%3E%0A%3Cli%3ESelf-fabric+collar%3C%2Fli%3E%0A%3Cli%3EDouble-needle+stitched+hem+with+tack%3C%2Fli%3E%3Cli%3ETear+away+label%3C%2Fli%3E%3C%2Ful%3E,T-Shirts,2%2C8%2C16%2C40%2C49%2C57%2C85%2C87%2C97%2C115%2C148%2C162%2C167%2C181%2C184%2C185%2C220%2C260%2C267%2C278%2C367%2C385%2C387%2C409%2C410%2C417%2C418%2C423%2C457%2C482%2C483%2C485,0,,251,352,Images%2FBrand%2F107_fm.jpg,Images%2FStyle%2F2281_fm.jpg,,,,0
9309,58185,C2+Sport,5102,5102,Quarter-Zip+Pullover,%3Cul%3E%3Cli%3E3.5+oz.%2Fyd%C2%B2+%28US%29%2C+5.8+oz.%2FL+yd%26nbsp%3B%28CA%29%2C+100%25+polyester+moisture+management%2F+antimicrobial+performance+fabric%3C%2Fli%3E%3Cli%3ESelf-fabric+collar+with+8%26quot%3B+locking+zipper%3C%2Fli%3E%3Cli%3EDouble-needle+hem%3C%2Fli%3E%3Cli%3ETear+away+label%3C%2Fli%3E%3C%2Ful%3E,Athletics,2%2C16%2C48%2C56%2C85%2C87%2C115%2C142%2C148%2C159%2C162%2C167%2C185%2C220%2C372%2C382%2C385%2C387%2C395%2C404%2C409%2C410%2C414%2C423%2C457%2C482%2C483%2C495%2C496,0,,356,1431,Images%2FBrand%2F107_fm.jpg,Images%2FStyle%2F9309_fm.jpg,,,,0
2484,85585,C2+Sport,5104,5104,Performance+Long+Sleeve+T-Shirt,%3Cul%3E%3Cli%3E3.5+oz.%2Fyd%C2%B2+%28US%29+5.8+oz.%2FL+yd+%28CA%29%2C+100%25+polyester+moisture+management%2F+antimicrobial+performance+fabric%3C%2Fli%3E%3Cli%3ESelf-fabric+collar+and+cuffs%3C%2Fli%3E%3Cli%3EDouble-needle+stitched+bottom+hem+with+tack%3C%2Fli%3E%3Cli%3ETear+away+label%3C%2Fli%3E%3C%2Ful%3E,T-Shirts+-+Long+Sleeve,2%2C8%2C16%2C56%2C85%2C87%2C115%2C127%2C148%2C159%2C162%2C167%2C181%2C182%2C184%2C185%2C220%2C267%2C278%2C313%2C367%2C385%2C387%2C409%2C410%2C423%2C456%2C457%2C465%2C482%2C483,0,,215,352,Images%2FBrand%2F107_fm.jpg,Images%2FStyle%2F2484_fm.jpg,,,,0
6766,89785,C2+Sport,5107,5107Ba,Mesh+7%22+Shorts,%3Cul%3E%3Cli%3E100%25+polyester+mesh%3C%2Fli%3E%3Cli%3ESolid+tricot+liner%3C%2Fli%3E%3Cli%3E11%2F2%26quot%3B+covered+waistband%3C%2Fli%3E%3Cli%3EInternal+drawcord%3C%2Fli%3E%3Cli%3EDouble-needle+stitched+hems%3C%2Fli%3E%3C%2Ful%3E,Athletics,2%2C16%2C43%2C77%2C85%2C87%2C148%2C159%2C167%2C181%2C185%2C199%2C215%2C220%2C240%2C267%2C278%2C291%2C313%2C367%2C384%2C388%2C423%2C457%2C482%2C483,0,1,590,544,Images%2FBrand%2F107_fm.jpg,Images%2FStyle%2F6766_fm.jpg,,,,0
2486,85785,C2+Sport,5109,5109,Mesh+9%22+Shorts,%3Cul%3E%3Cli%3E5.3+oz.%2Fyd%C2%B2+%28US%29%2C+8.8+oz%2FL+yd+%28CA%29%2C+100%25+polyester+mesh%3C%2Fli%3E%3Cli%3ESolid+tricot+liner%3C%2Fli%3E%3Cli%3E11%2F2%26quot%3B+covered+waistband%3C%2Fli%3E%3Cli%3EInternal+drawcord%3C%2Fli%3E%3Cli%3EDouble-needle+stitched+hems%3C%2Fli%3E%3C%2Ful%3E,Athletics,2%2C16%2C43%2C77%2C85%2C87%2C148%2C159%2C180%2C183%2C184%2C185%2C199%2C215%2C220%2C267%2C278%2C291%2C367%2C384%2C388%2C423,0,1,39,544,Images%2FBrand%2F107_fm.jpg,Images%2FStyle%2F2486_fm.jpg,,,,0
2485,85685,C2+Sport,5200,5200B,Youth+Performance+T-Shirt,%3Cul%3E%3Cli%3E3.5+oz.%2Fyd%C2%B2+%28US%29+5.8+oz.%2FL+yd+%28CA%29%2C+100%25+polyester+moisture+management%2F+antimicrobial+performance+fabric%3C%2Fli%3E%3Cli%3ESelf-fabric+collar%3C%2Fli%3E%3Cli%3EDouble-needle+stitched+bottom+hem+with+tack%3C%2Fli%3E%3Cli%3ETear-away+label%3C%2Fli%3E%3C%2Ful%3E,T-Shirts,2%2C8%2C16%2C28%2C57%2C85%2C115%2C162%2C167%2C181%2C182%2C184%2C185%2C220%2C260%2C267%2C278%2C338%2C367%2C385%2C387%2C410%2C412%2C417%2C418%2C423%2C456%2C457%2C464%2C482%2C483,0,,107,352,Images%2FBrand%2F107_fm.jpg,Images%2FStyle%2F2485_fm.jpg,,,,0
3148,85985,C2+Sport,5209,5209C2,Youth+Mesh+Shorts,%3Cul%3E%3Cli%3E3.8+oz.%2Fyd%C2%B2%2C+100%25+polyester+mesh%3C%2Fli%3E%3Cli%3ESolid+tricot+liner%3C%2Fli%3E%0A%0A%0A%0A%3Cli%3E1%26nbsp%3B%3Cspan+style%3D%22text-align%3A+-webkit-center%3B+%22%3E%C2%BD%3C%2Fspan%3E%26quot%3B+covered+elastic+waistband%3C%2Fli%3E%3Cli%3ENo+drawcord%3C%2Fli%3E%3C%2Ful%3E,Athletics,2%2C16%2C28%2C43%2C77%2C85%2C181%2C183%2C184%2C185%2C199%2C215%2C220%2C267%2C278%2C291%2C384%2C388%2C423,0,1,214,544,Images%2FBrand%2F107_fm.jpg,Images%2FStyle%2F3148_fm.jpg,,,,0
2731,09585,C2+Sport,5600,5600,Women%E2%80%99s+Performance+T-Shirt,%3Cul%3E%3Cli%3E3.5+oz.%2Fyd%C2%B2+%28US%29+5.8+oz.%2FL+yd+%28CA%29%2C%26nbsp%3B100%25+polyester+moisture+management%2F+antimicrobial+performance+fabric%3C%2Fli%3E%3Cli%3ESelf-fabric+collar%3C%2Fli%3E%3Cli%3EDouble-needle+stitched+hem+with+tack%26nbsp%3B%3C%2Fli%3E%3C%2Ful%3E%3Cp%3E%3Cbr+%2F%3E%3C%2Fp%3E,T-Shirts,2%2C8%2C13%2C16%2C57%2C85%2C115%2C162%2C167%2C181%2C182%2C184%2C185%2C220%2C267%2C278%2C385%2C387%2C409%2C417%2C418%2C423%2C456%2C465,0,,246,352,Images%2FBrand%2F107_fm.jpg,Images%2FStyle%2F2731_fm.jpg,,,,0
